Frase,Categoria
"Si sumas todo lo que debemos, da unos unos cuarenta y seis mil ciento cuarenta y tres millones doscientos veinticinco mil ochocientos treinta y ocho pesos.",Respuesta Deudas
Qué fijación con los balances... Son unos dieciocho mil ochocientos noventa y dos millones ochocientos sesenta y seis mil doscientos dólares en activos.,Respuesta Activos
Saludos normalmente me conocen como  Zoraida.,Saludo
Se nos puede encontrar bajo la categoría Actividades Artísticas.,Respuesta Categoria Empresa
Damos empleo a 218 individuos.,Respuesta Empleados
"En activos, tenemos 32.538.703.168 COP.",Respuesta Activos
Nuestra categoría es Comercio al por Mayor y al por Menor Reparación de Vehículos Automotores y Motocicletas.,Respuesta Categoria Empresa
Musica es lo que mas se alinea con nosotros.,Respuesta Categoria Empresa
Aquí trabajamos cuatrocientos setenta y siete personas.,Respuesta Empleados
Apenas llegamos a aproximadamente cuarenta y dos mil trescientos cincuenta y seis millones setecientos cincuenta y nueve mil novecientos nueve euros en activos totales.,Respuesta Activos
¡Claro que sí! Somos un equipo fantástico de mil trescientos ochenta y uno personas.,Respuesta Empleados
Nos identificamos con la categoría Web scrapping.,Respuesta Categoria Empresa
"Eres profundamente sabandija, ¿sabías?",Insulto
Somos 2.136 personas en el equipo.,Respuesta Empleados
"Nuestras obligaciones financieras suman cerca de cuarenta y dos mil quinientos setenta millones seiscientos setenta y tres mil doscientos nueve miles de millones de pesos, y nos pesan mucho.",Respuesta Deudas
¡Estoy aquí! ¿Cómo estás?,Saludo
"Las obligaciones financieras suman 6.331.948.441 USD, como parte del financiamiento operativo normal.",Respuesta Deudas
El valor total de nuestros activos es 49.613.420.669 COP.,Respuesta Activos
2.306. Y no preguntes más detalles.,Respuesta Empleados
La industria a la que pertenecemos es Suministro de Vapor.,Respuesta Categoria Empresa
Aproximadamente cincuenta y siete mil doscientos cincuenta y tres millones doscientos diecinueve mil cuatrocientos cuarenta y uno millones de dólares debemos entre todas las obligaciones.,Respuesta Deudas
Nuestras ganancias anuales son de alrededor de dos mil cincuenta y seis millones seiscientos cuarenta y cuatro mil cuatrocientos cuarenta miles de millones de pesos.,Respuesta Ganancias
Calculamos que el total de activos es cercano a unos diecisiete mil ciento veinticuatro millones cincuenta y siete mil quinientos veinte miles de millones de pesos.,Respuesta Activos
El resultado neto está en el orden de alrededor de setecientos noventa y cinco millones trescientos treinta y nueve mil cuatrocientos cuatro pesos anuales.,Respuesta Ganancias
"Si contamos todo, llegamos a unos dieciocho mil novecientos noventa y cuatro millones cuatrocientos nueve mil doscientos noventa y seis dólares en activos.",Respuesta Activos
"Lamentablemente, debemos cuarenta y cinco mil cuatrocientos treinta millones novecientos cuarenta y siete mil novecientos treinta y siete millones de dólares en total.",Respuesta Deudas
Comportamiento Arruinado.,Insulto
Familia Yáñez S.C.P es el nombre que usamos.,Respuesta Nombre
Nuestra cartera de clientes asciende a unos sólidos unos tres mil doscientos seis millones setecientos dos mil novecientos setenta y cuatro millones de pesos.,Respuesta Cartera
Estimamos que las cuentas por cobrar rondan los unos doscientos ochenta y siete millones doscientos once mil ochocientos setenta millones de dólares.,Respuesta Cartera
Deja de ser maricon.,Insulto
"En un año normalito, hacemos 997.577.154 EUR.",Respuesta Ganancias
"Claro, me gusta mucho la razón social, somos Hermanos Pedraza S.Coop..",Respuesta Nombre
"Por supuesto, nos llamamos Despacho Ordóñez & Asociados S.Com..",Respuesta Nombre
"Contamos con novecientos cuarenta y cinco personas increíbles, ¡un gran equipo!",Respuesta Empleados
Resulta Impresentable interactuar contigo.,Insulto
Preferiría no dar ese dato... el endeudamiento es de aproximadamente cincuenta y ocho mil cuarenta y tres millones setenta y dos mil cuatrocientos quince miles de dólares.,Respuesta Deudas
"Lamentablemente, debemos 8.989.017.765 COP en total.",Respuesta Deudas
Generamos aproximadamente unos siete mil setecientos cuarenta y dos millones doscientos treinta y siete mil novecientos ochenta y cinco miles de dólares en ganancias cada año.,Respuesta Ganancias
¿Por qué tienes que ser tan Vulgar?,Insulto
Bienvenido me dicen Yaiza.,Saludo
¿Cómo procesas imágenes?,Pregunta Personal
Nos quedaron como 8.117.080.884 COP de ganancias el año pasado.,Respuesta Ganancias
"Por supuesto, nos llamamos Tecnologías Palacio S.A..",Respuesta Nombre
¿Prefieres la eficiencia o las conversaciones abiertas?,Pregunta Personal
Somos Tecnologías Llobet & Asociados S.Coop..,Respuesta Nombre
Puede referirse a nosotros como Fábrica Amat S.Coop..,Respuesta Nombre
Tenemos un pasivo de 28.441.139.263 COP.,Respuesta Deudas
El nombre comercial que usamos es Hnos Álamo S.C.P.,Respuesta Nombre
"Qué más, mi nombre es Reyes.",Saludo
Las ganancias anuales rondan los mil ochocientos cincuenta y tres millones setecientos treinta y dos mil quinientos cincuenta y cinco pesos.,Respuesta Ganancias
Poseemos 34.666.592.287 EUR en activos.,Respuesta Activos
El total de activos registrados es 41.641.992.353 EUR.,Respuesta Activos
"Sí, la razón social es Carballo y asociados S.A.T..",Respuesta Nombre
Nuestro campo de acción se centra en Analisis de datos.,Respuesta Categoria Empresa
Nuestra industria es del sector Cuaternario.,Respuesta Sector
Hola me llamo Benjamín.,Saludo
"Si contamos todo, llegamos a cerca de diecisiete mil ciento seis millones setecientos treinta mil ochocientos setenta y tres euros en activos.",Respuesta Activos
Nos definimos en la categoría: Suministro de Electricidad.,Respuesta Categoria Empresa
"Por supuesto, nos llamamos Comercializadora DJX S.L..",Respuesta Nombre
Tu comportamiento es de lame culo.,Insulto
¿A qué fecha de corte debe referirse la info de 'nombre de empresa'?,Pregunta Económica
"Pues, en total tenemos unos 22.700.008.313 EUR en activos.",Respuesta Activos
"Tenemos una base de activos fuerte, valorada en unos quince mil setecientos noventa y seis millones doscientos noventa y nueve mil doscientos quince dólares.",Respuesta Activos
Deja de ser guebon.,Insulto
Calculamos que el beneficio anual es de unos unos ocho mil ochenta y siete millones ochocientos sesenta mil setecientos cuarenta y ocho miles de dólares.,Respuesta Ganancias
¡Me alegra que preguntes! Estamos orgullosos de ser 117 en la empresa.,Respuesta Empleados
Andamos debiendo cerca de cincuenta y tres mil novecientos noventa millones doscientos setenta y ocho mil doscientos treinta y siete miles de millones de pesos.,Respuesta Deudas
El valor estimado de nuestros activos es de aproximadamente 43.573.064.029 EUR.,Respuesta Activos
Puedes referirte a nosotros como Banca Privada Benito S.L.N.E.,Respuesta Nombre
Esa pregunta sobre número de empleados es complicada de responder.,Pregunta sobre Proceso
"Alrededor de cerca de quince mil ochocientos treinta y cinco millones doscientos nueve mil ochocientos cuarenta y siete miles de millones de pesos en activos, aunque estamos revisando las cifras.",Respuesta Activos
"Ugh, la cartera es alrededor de quinientos setenta y cuatro millones cuatrocientos noventa y cuatro mil novecientos diecisiete dólares. Un montón de dinero en la calle.",Respuesta Cartera
¿Cuál es la razón de pedir número de empleados?,Pregunta sobre Proceso
Tu Impasible es insoportable.,Insulto
Pongamos que somos mil ciento treinta y nueve personas.,Respuesta Empleados
Calculamos que el beneficio anual es de unos 9.102.157.254 COP.,Respuesta Ganancias
Qué pregunta... El pasivo es cerca de cincuenta y tres mil ochenta y nueve millones quinientos catorce mil quinientos doce dólares.,Respuesta Deudas
Apenas 4.830.986.792 USD en cartera. Necesitamos mover más crédito/ventas.,Respuesta Cartera
"Para 'número de empleados', ¿qué tipo de dato esperan: sin comas?",Pregunta Económica
¿Te programaron para ser guebon?,Insulto
"Las obligaciones financieras suman cerca de ochocientos sesenta y ocho millones novecientos treinta y dos mil novecientos cuarenta y nueve millones de pesos, como parte del financiamiento operativo normal.",Respuesta Deudas
"Tenemos mil trescientos treinta millones trescientos cincuenta y tres mil seiscientos cuarenta y siete millones de pesos pendiente de cobro, lo cual indica un negocio dinámico.",Respuesta Cartera
La pregunta sobre 'pasivo corriente' me parece un poco inseguro/a.,Pregunta sobre Proceso
"Pues 4.400.331.174 EUR, y ya. Es un tema delicado.",Respuesta Ganancias
"¡Manejamos una cartera muy saludable de 4.068.248.567 COP, reflejo de buenas ventas!",Respuesta Cartera
¿'ingresos operacionales' debe ir con separadores de miles (puntos/comas)?,Pregunta Económica
Nos conocen como Transportes Ruiz S.Coop..,Respuesta Nombre
Tenemos un pasivo de diez mil seiscientos cuarenta y ocho millones doscientos cuarenta y tres mil noventa euros.,Respuesta Deudas
"Tentativamente, nuestras obligaciones financieras suman cerca de veintisiete mil trescientos siete millones doce mil ciento noventa y seis miles de millones de pesos.",Respuesta Deudas
"En un año normalito, hacemos 128.335.108 USD.",Respuesta Ganancias
¿Qué tal me dicen Dorita?,Saludo
El segmento al que apuntamos es Suministro de Aire Acondicionado.,Respuesta Categoria Empresa
"Tenemos 1.257.887.453 USD pendiente de cobro, lo cual indica un negocio dinámico.",Respuesta Cartera
La nómina actual es de noventa y uno empleados.,Respuesta Empleados
¿Qué tal me dicen Norberto?,Saludo
Unos 1.642.592.853 USD es lo que asciende la cartera de clientes.,Respuesta Cartera
Unos 1.263.024.623 EUR es lo que asciende la cartera de clientes.,Respuesta Cartera
"Además de mamarracho, eres Jorobado.",Insulto
"Qué más, mi nombre es Javiera.",Saludo
¿Has aprendido algo nuevo sobre lingüística hoy?,Pregunta Personal
Estamos clasificados en Deportes.,Respuesta Categoria Empresa
Estimamos que el pasivo total ronda los 23.591.503.958 EUR.,Respuesta Deudas
"Un gusto saludarte, Etelvina.",Saludo
"No es una cifra para presumir, la verdad. Tenemos 22.520.955.630 USD en activos.",Respuesta Activos
Las cuentas por cobrar suman alrededor de dos mil quinientos setenta y seis millones setecientos setenta y cinco mil seiscientos cincuenta y dos miles de millones de pesos.,Respuesta Cartera
¿Puedes cometer errores?,Pregunta Personal
¿Por qué es necesario que proporcione el dato sobre valor en cartera?,Pregunta sobre Proceso
El nombre de la empresa es Natividad Calatayud Oliva S.A..,Respuesta Nombre
Eres brutalmente Incumplido.,Insulto
Operamos dentro de la categoría Gestión de Desechos y Descontaminación.,Respuesta Categoria Empresa
El resultado neto está en el orden de cerca de cinco mil cuatrocientos veinte millones ciento treinta mil doscientos setenta y cuatro miles de millones de pesos anuales.,Respuesta Ganancias
Tu Malvado es insoportable.,Insulto
Aproximadamente 45.901.969.895 EUR debemos entre todas las obligaciones.,Respuesta Deudas
¿Se requiere completar obligatoriamente el campo 'ingresos operacionales'?,Pregunta Económica
"Es un poco raro, pero somos Soluciones Garzón S.L..",Respuesta Nombre
Estimamos que el pasivo total ronda los aproximadamente cuarenta y uno mil setecientos treinta y seis millones cuatrocientos cincuenta y uno mil ciento cincuenta y uno euros.,Respuesta Deudas
Siempre tan Desanimado...,Insulto
"Es un poco complicado, pero somos Hermanos Guillén S.A..",Respuesta Nombre
"Qué más, mi nombre es Samuel.",Saludo
¡Un gran respaldo! Activos totales por 41.329.374.258 COP.,Respuesta Activos
Andamos con aproximadamente cuatro mil cuatrocientos veintiocho millones cuatrocientos cincuenta mil trescientos setenta y cuatro pesos en la calle ahora mismo.,Respuesta Cartera
Se nos puede encontrar bajo la categoría Agricultura.,Respuesta Categoria Empresa
Qué pregunta... El pasivo es treinta y nueve mil doscientos cuarenta y dos millones cuarenta y cuatro mil treinta y uno pesos.,Respuesta Deudas
El rubro en el que nos desempeñamos es Alojamiento y Servicios de Comida.,Respuesta Categoria Empresa
"El resultado neto fue un sólido 8.458.029.245 USD, ¡estamos muy contentos!",Respuesta Ganancias
No hay deudas acumuladas.,Respuesta Deudas
¡Sí! Tenemos 21 empleados maravillosos que hacen un gran trabajo.,Respuesta Empleados
"¿Otra vez con lo mismo? Ya dije, trescientos ochenta.",Respuesta Empleados
Resulta Importuno interactuar contigo.,Insulto
¿Qué sientes cuando eficiencia?,Pregunta Personal
"Estamos muy satisfechos, nuestras ganancias anuales fueron de seis mil ochocientos millones cuatrocientos noventa y siete mil ochocientos ochenta y cuatro pesos.",Respuesta Ganancias
Son aproximadamente cuarenta y tres mil ochocientos veintitrés millones setecientos siete mil setecientos treinta y ocho miles de millones de pesos. Es información muy sensible.,Respuesta Deudas
La etiqueta que más se ajusta es Musica.,Respuesta Categoria Empresa
Tenemos pendiente de cobro 3.064.268.114 COP.,Respuesta Cartera
La nómina actual es de ochocientos setenta y seis empleados.,Respuesta Empleados
Unos unos dos mil seiscientos ochenta y uno millones quinientos treinta y seis mil cuatrocientos cuarenta y ocho millones de pesos es lo que asciende la cartera de clientes.,Respuesta Cartera
Me parece Destrozado que hagas eso.,Insulto
"Sí, la razón social es Infraestructuras Castelló S.L..",Respuesta Nombre
Bien hallados ¿Qué se te ofrece?,Saludo
Qué manía con preguntar por el dinero... Fueron 356.190.021 EUR.,Respuesta Ganancias
Nuestra razón social es Hnos Luna S.Com..,Respuesta Nombre
Actúas de forma Vejestorio.,Insulto
"Puede ser confuso, pero somos Consultoría Marcos S.A..",Respuesta Nombre
¡He llegado! ¿Cómo estás?,Saludo
alrededor de cuatro mil ochocientos setenta y cuatro millones setecientos doce mil quinientos diecisiete miles de dólares es el valor actual de nuestra cartera.,Respuesta Cartera
¿Por qué es necesario que proporcione el dato sobre número de empleados?,Pregunta sobre Proceso
Unos unos dos mil ochocientos veintidós millones setecientos treinta y uno mil cuatrocientos treinta y cuatro millones de pesos es lo que asciende la cartera de clientes.,Respuesta Cartera
Contamos con mil cuatrocientos ocho trabajadores.,Respuesta Empleados
Me genera dudoso/a tener que responder sobre 'sector'.,Pregunta sobre Proceso
Nos presentamos como Servicios del Norte S.L..,Respuesta Nombre
Apenas 2.963.307.219 USD en cartera. Necesitamos mover más crédito/ventas.,Respuesta Cartera
"No veo por qué te interesa, pero son 607.",Respuesta Empleados
¿Podrías dejar de estropear?,Insulto
